CONTAINER ID   IMAGE                            COMMAND                  CREATED        STATUS                  PORTS                                                                                                                                                                 NAMES
fcca0d5a6c15   ubuntu/bind9:latest              "docker-entrypoint.sh"   22 hours ago   Up 7 minutes            53/tcp, 953/tcp, 53/udp                                                                                                                                               dns01
4f1fc98eb624   onprem-docker-web                "docker-php-entrypoi…"   22 hours ago   Up 7 hours              80/tcp                                                                                                                                                                web01
e7fef83d54db   wazuh/wazuh-dashboard:4.14.0     "/entrypoint.sh"         26 hours ago   Up 7 hours              443/tcp, 0.0.0.0:443->5601/tcp, [::]:443->5601/tcp                                                                                                                    single-node-wazuh.dashboard-1
f3da569dcacb   wazuh/wazuh-manager:4.14.0       "/init"                  26 hours ago   Up 7 hours              0.0.0.0:1514-1515->1514-1515/tcp, [::]:1514-1515->1514-1515/tcp, 0.0.0.0:514->514/udp, [::]:514->514/udp, 0.0.0.0:55000->55000/tcp, [::]:55000->55000/tcp, 1516/tcp   single-node-wazuh.manager-1
fae1169fcf69   wazuh/wazuh-indexer:4.14.0       "/entrypoint.sh open…"   26 hours ago   Up 7 hours              0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp                                                                                                                           single-node-wazuh.indexer-1
09587606897b   nginx:latest                     "/docker-entrypoint.…"   2 days ago     Up 7 hours              0.0.0.0:80->80/tcp, [::]:80->80/tcp                                                                                                                                   nginx01
16722e034ee5   mariadb:11                       "docker-entrypoint.s…"   2 days ago     Up 7 hours              3306/tcp                                                                                                                                                              db01
55fe4c509a97   ubuntu:22.04                     "sleep infinity"         2 days ago     Up 7 hours              0.0.0.0:20022->22/tcp, [::]:20022->22/tcp                                                                                                                             admin01
00d4e3f11797   graylog/graylog:6.0              "tini -- /docker-ent…"   6 days ago     Up 7 hours (healthy)    0.0.0.0:1514->1514/udp, [::]:1514->1514/udp, 0.0.0.0:12201->12201/udp, [::]:12201->12201/udp, 0.0.0.0:9000->9000/tcp, [::]:9000->9000/tcp                             graylog
00be03b3974d   mongo:6                          "docker-entrypoint.s…"   6 days ago     Up 7 hours              27017/tcp                                                                                                                                                             mongodb
336dcf629de9   opensearchproject/opensearch:2   "./opensearch-docker…"   6 days ago     Up 7 hours              9200/tcp, 9300/tcp, 9600/tcp, 9650/tcp                                                                                                                                opensearch
ac0ed1a69f6a   hello-world                      "/hello"                 7 days ago     Exited (0) 7 days ago                                                                                                                                                                         priceless_ptolemy
